Rating,Hyperspecific (Count),Hyperspecific (% of Column),Simple (Count),Simple (% of Column),Total (Count),Total (% of Column)
Bard much better (1),22,4.8%,35,6.4%,57,5.7%
Bard better (2),38,8.4%,55,10.0%,93,9.3%
Bard slightly better (3),31,6.8%,65,11.9%,96,9.6%
About the same (4),65,14.3%,98,17.9%,163,16.3%
ChatGPT slightly better (5),73,16.0%,86,15.7%,159,15.9%
ChatGPT better (6),99,21.8%,94,17.2%,193,19.2%
ChatGPT much better (7),127,27.9%,115,21.0%,242,24.1%
Total,455,100.0%,548,100.0%,1003,100.0%
